Label,Target,Elevation,Slope,Aspect,MeanCurv,CasCurv,GaussCurv,ProfCurv,TanCurv,TRI,VRM,VRM7,Distance_Stream500,Distance_Stream500_Elev,Distance_Stream2k,Distance_Stream2k_Elev,MS_B1,MS_B2,MS_B3,MS_B4,CIg,EVI,GNDVI,IronOxide,MSAVI2,MTVI2,NDVI,NDWI,SR,VARI,SuperGroup_Transvaal,GeoGroup_Chuniespoort,GeoGroup_Pretoria,Formation_Eccles,Formation_KarooDolerite,Formation_Lyttelton,Formation_MonteChristo,Formation_Oaktree,Formation_Rooihoogte,Formation_TimeballHill,Chert_presence,Diamictite_presence,Dolomite_presence,Limestone_presence,Mudrock_presence,Quartzite_presence,Shale_presence,Distance_Faults,Distance_Dikes,Cluster
Background,0,1539.970459,1.0150269,95.5508804,-0.0002995,0.0005094,-1e-07,-0.0003175,-0.0002815,0.4346036,1.66e-05,4.71e-05,272.9468689,273.39505,350.5709534,350.8034668,425,753,1105,2122,1.8180611,0.4568323,0.4761739,2.5999999,0.479206,0.7424504,0.3151534,-0.4761739,1.920362,-0.2456385,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,3964.0556641,4371.7788086,
Background,0,1522.6126709,2.8594167,57.3585243,0.0004889,0.0007635,-1e-07,0.0006013,0.0003765,1.2415218,1.28e-05,3.58e-05,100.5683823,100.8979568,168.2676392,168.8075409,427,723,1060,2264,2.131397,0.5550945,0.5159022,2.4824357,0.5317471,0.7577998,0.3622142,-0.5159022,2.135849,-0.2485251,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,3778.5288086,4484.2514648,
Background,0,1490.9022217,6.6666842,262.1031189,0.0007758,0.0012318,-3e-07,0.0003204,0.0012312,2.8738716,3.9e-05,0.0001137,25.0,25.3715611,87.9659042,88.4532547,335,609,758,2490,3.08867,0.956589,0.60697,2.2626865,0.6955398,0.7382952,0.5332512,-0.60697,3.2849605,-0.1443798,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,3539.9328613,4767.765625,
Background,0,1470.1320801,3.6346517,239.7898865,-0.0013995,0.0030082,-5.1e-06,0.001233,-0.004032,1.5939854,0.0005167,0.0017732,30.4138126,30.4217396,30.4138126,30.4217396,406,618,775,2760,3.4660194,1.1366239,0.634103,1.908867,0.7191663,0.754007,0.5615276,-0.634103,3.5612903,-0.1590679,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,3848.5507812,4516.1313477,
Background,0,1521.8554688,1.8674059,60.2025108,0.0002418,0.0006545,-3e-07,0.0008412,-0.0003576,0.7879895,3.72e-05,0.0002277,463.0421143,464.0578613,481.1319885,482.0049133,524,875,1349,2625,2.0,0.4698085,0.5,2.5744274,0.4860477,0.7761289,0.3210871,-0.5,1.9458859,-0.2788235,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,3449.7397461,4860.9697266,
Background,0,1468.5648193,3.2489977,119.6469727,0.0008685,0.0018842,-2e-06,0.0025396,-0.0008027,1.4541065,9.66e-05,0.0002284,47.8539429,47.9961281,81.0,81.092598,413,717,937,2490,2.4728034,0.7741003,0.5528531,2.2687652,0.6236476,0.727059,0.453166,-0.5528531,2.6574173,-0.1772764,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4266.0737305,4333.5541992,
Background,0,1477.9263916,7.0696502,173.8557587,0.0044997,0.0045734,1.96e-05,0.0052836,0.0037157,3.1995389,0.0018655,0.0030917,66.1286621,67.0451126,133.7535095,135.2335052,290,567,603,2931,4.169312,1.3302857,0.6758147,2.0793104,0.7942403,0.7379327,0.6587436,-0.6758147,4.8606963,-0.0409091,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4569.1508789,4023.3076172,
Background,0,1514.1658936,3.8114452,342.9773865,-0.0006406,0.0014988,-1.4e-06,-0.0018103,0.0005292,1.6473076,2.9e-05,8.27e-05,240.1333008,241.2644653,240.1333008,241.2644653,440,776,1060,2800,2.6082475,0.7421942,0.5659955,2.409091,0.6213866,0.7495295,0.4507772,-0.5659955,2.6415095,-0.2034384,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,3689.8122559,4595.8242188,
Background,0,1507.6246338,1.6920446,111.2151031,-0.0004722,0.000517,2e-07,-0.0005916,-0.0003527,0.7176774,1.47e-05,4.25e-05,145.7738037,146.0703278,589.4607544,590.5814819,396,656,973,1963,1.992378,0.5122102,0.4990454,2.4570706,0.5042664,0.7567794,0.3371935,-0.4990454,2.0174718,-0.2570965,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4219.0234375,3711.7944336,
Background,0,1477.8806152,4.2507277,151.3044128,0.0031762,0.004745,-2.3e-06,0.0037468,0.0026056,1.977531,0.0004742,0.0022507,76.0,76.2652283,76.0,76.2652283,246,425,504,3106,6.3082352,1.5177321,0.759275,2.0487804,0.8377115,0.8017135,0.7207756,-0.759275,6.1626983,-0.1156662,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,3532.6281738,4910.0356445,
